sep=;
T/1;CR/1;CS/2;;US/1;Cortex/2;;Thalamus/2;;Hippocampus.BindDelta/4;;;;Hippocampus.Context/4;;;;V/3;;;W/2;;
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
1;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
2;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
3;0.000;0.000;0.000;1.000;0.000;0.000;1.000;1.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
4;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
5;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
6;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.200;0.200;0.000;0.000;0.000;
7;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.200;0.200;0.000;0.000;0.000;
8;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.200;0.200;0.000;0.000;0.000;
9;0.000;0.000;0.000;1.000;0.000;0.000;1.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.200;0.200;0.000;0.000;0.040;
10;0.200;0.000;0.000;0.000;1.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.200;0.200;0.000;0.000;0.040;
11;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.200;0.200;0.000;0.000;0.040;
12;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.320;0.320;0.000;0.000;0.032;
13;0.360;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.320;0.320;0.000;0.000;0.032;
14;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.320;0.320;0.000;0.000;0.032;
15;0.000;0.000;0.000;1.000;0.000;0.000;1.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.320;0.320;0.000;0.000;0.090;
16;0.288;0.000;0.000;0.000;1.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.320;0.320;0.000;0.000;0.090;
17;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.320;0.320;0.000;0.000;0.090;
18;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.392;0.392;0.000;0.000;0.072;
19;0.550;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.392;0.392;0.000;0.000;0.072;
20;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.392;0.392;0.000;0.000;0.072;
21;0.000;0.000;0.000;1.000;0.000;0.000;1.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.392;0.392;0.000;0.000;0.136;
22;0.320;0.000;0.000;0.000;1.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.392;0.392;0.000;0.000;0.136;
