sep=;
T/1;CR/1;CS/1;US/1;Cortex/1;Thalamus/1;Hippocampus.BindDelta/4;;;;Hippocampus.Context/4;;;;V/2;;W/1;
37;0.89263;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.91410;0.00000;0.00000;
38;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.91410;0.00000;0.00000;
39;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.93128;0.00000;0.00000;
40;0.91410;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.93128;0.00000;0.00000;
41;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.93128;0.00000;0.00000;
42;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.94502;0.00000;0.00000;
43;0.93128;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.94502;0.00000;0.00000;
44;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.94502;0.00000;0.00000;
45;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.95602;0.00000;0.00000;
46;0.94502;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.95602;0.00000;0.00000;
47;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.95602;0.00000;0.00000;
48;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.00000;
49;0.95602;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.00000;
50;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.00000;
51;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.19296;
52;0.96482;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.19296;
53;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.19296;
54;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.34733;
55;0.77185;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.34733;
56;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.34733;
57;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.47083;
58;0.61748;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.47083;
59;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.47083;
60;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.56963;
61;0.49399;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.56963;
62;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.56963;
63;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.64866;
64;0.39519;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.64866;
65;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.64866;
66;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.71189;
67;0.31615;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.71189;
68;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.71189;
69;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.76248;
